step_type,req_ids,s_time_s,d_time_s,batch_size,total_tokens,ctx_lens,computed_tokens,mm_items,cache_hits
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.638300,0.000042,1,1,1464,1407,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.652147,0.000060,1,1,1466,1408,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.665990,0.000040,1,1,1468,1409,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.679793,0.000040,1,1,1470,1410,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.693627,0.000039,1,1,1472,1411,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.707439,0.000041,1,1,1474,1412,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.721271,0.000041,1,1,1476,1413,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.735089,0.000040,1,1,1478,1414,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.748905,0.000041,1,1,1480,1415,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.762732,0.000041,1,1,1482,1416,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.776568,0.000040,1,1,1484,1417,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.790372,0.000042,1,1,1486,1418,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.804173,0.000040,1,1,1488,1419,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.817977,0.000041,1,1,1490,1420,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.831794,0.000042,1,1,1492,1421,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.845587,0.000040,1,1,1494,1422,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.859396,0.000039,1,1,1496,1423,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.873211,0.000041,1,1,1498,1424,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.887002,0.000039,1,1,1500,1425,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.900818,0.000041,1,1,1502,1426,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.914636,0.000041,1,1,1504,1427,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.928467,0.000042,1,1,1506,1428,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.942287,0.000041,1,1,1508,1429,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.956085,0.000041,1,1,1510,1430,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.969900,0.000042,1,1,1512,1431,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.983695,0.000040,1,1,1514,1432,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165906.997498,0.000041,1,1,1516,1433,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.011316,0.000040,1,1,1518,1434,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.025139,0.000040,1,1,1520,1435,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.038961,0.000039,1,1,1522,1436,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.052788,0.000040,1,1,1524,1437,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.066595,0.000041,1,1,1526,1438,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.080406,0.000041,1,1,1528,1439,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.094208,0.000041,1,1,1530,1440,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.108022,0.000041,1,1,1532,1441,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.121850,0.000040,1,1,1534,1442,0,0
decode,chatcmpl-9492be82577fe6f8-8f650fd6,3165907.135663,0.000041,1,1,1536,1443,0,0
