step_type,req_ids,s_time_s,d_time_s,batch_size,total_tokens,ctx_lens,computed_tokens,mm_items,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.693773,0.014205,1,1,1414,1413,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.708208,0.014222,1,1,1415,1414,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.722657,0.014224,1,1,1416,1415,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.737110,0.014197,1,1,1417,1416,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.751534,0.014219,1,1,1418,1417,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.765978,0.014287,1,1,1419,1418,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.780491,0.014189,1,1,1420,1419,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.794907,0.014227,1,1,1421,1420,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.809363,0.014207,1,1,1422,1421,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.823795,0.014204,1,1,1423,1422,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.838230,0.014199,1,1,1424,1423,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.852657,0.014173,1,1,1425,1424,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.867054,0.014209,1,1,1426,1425,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.881489,0.014201,1,1,1427,1426,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.895916,0.014203,1,1,1428,1427,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.910346,0.014182,1,1,1429,1428,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.924754,0.014196,1,1,1430,1429,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.939175,0.014204,1,1,1431,1430,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.953604,0.014194,1,1,1432,1431,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.968029,0.014185,1,1,1433,1432,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.982443,0.014201,1,1,1434,1433,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174612.996868,0.014198,1,1,1435,1434,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.011292,0.014200,1,1,1436,1435,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.025717,0.014189,1,1,1437,1436,0,0
enc_decode,chatcmpl-1fb069a0eac1402dbb0a056718ba068a,3174613.040141,0.014189,1,1,1438,1437,0,0
